Country,Value
2019-07-05,3
2019-07-07,1
2019-07-08,1
2019-07-09,22
2019-07-10,11
2019-07-11,2
2019-07-12,3
2019-07-13,1
2019-07-15,8
2019-07-16,7
2019-07-17,18
2019-07-18,9
2019-07-19,6
2019-07-21,7
2019-07-22,4
2019-07-23,1
2019-07-24,20
2019-07-25,4
2019-07-27,28
2019-07-28,6
2019-07-29,2
2019-08-01,1
2019-08-05,1
2019-08-06,2
2019-08-09,2
2019-08-10,1
2019-08-12,1
2019-08-14,1
2019-08-16,30
2019-08-22,1
2019-08-29,15
2019-08-30,10
2019-08-31,3
2019-09-01,1
2019-09-03,10
2019-09-04,10
2019-09-05,11
2019-09-07,6
2019-09-08,1
2019-09-09,2
2019-09-10,34
2019-09-11,9
2019-09-12,7
2019-09-13,4
2019-09-17,1
2019-09-18,1
2019-09-19,10
2019-09-20,28
2019-09-21,1
2019-09-23,2
2019-09-24,4
2019-09-25,4
2019-09-28,1
2019-10-02,6
2019-10-03,3
2019-10-11,1
2019-10-16,8
2019-10-17,4
2019-10-18,30
2019-10-19,5
2019-10-21,2
2019-10-23,1
2019-10-24,1
2019-10-25,20
2019-10-26,3
2019-10-27,1
2019-10-28,4
2019-10-30,14
2019-10-31,7
2019-11-05,32
2019-11-06,7
2019-11-08,1
2019-11-12,3
2019-11-14,10
2019-11-15,1
2019-11-18,2
2019-11-19,31
2019-11-20,3
2019-11-21,2
2019-11-22,1
2019-11-25,4
2019-11-26,23
2019-11-27,2
2019-11-28,20
2019-11-29,2
2019-11-30,22
2019-12-04,17
2019-12-05,1
2019-12-07,1
2019-12-09,22
2019-12-10,2
2019-12-11,35
2019-12-12,10
2019-12-16,7
2019-12-19,1
2019-12-20,4
2019-12-21,1
2019-12-23,3
2019-12-24,4
2019-12-25,1
2019-12-27,1
2019-12-29,1
2019-12-31,1
2020-01-04,3
2020-01-07,1
2020-01-08,1
2020-01-14,16
2020-01-15,1
2020-01-16,1
2020-01-17,13
2020-01-21,8
2020-01-22,2
2020-01-23,17
2020-01-24,8
2020-01-25,4
2020-01-28,20
2020-01-29,13
2020-01-31,1
2020-02-01,1
2020-02-02,2
2020-02-04,2
2020-02-06,1
2020-02-12,37
2020-02-13,14
2020-02-14,1
2020-02-17,2
2020-02-18,20
2020-02-19,1
2020-02-21,2
2020-02-24,1
2020-02-25,1
2020-02-26,2
2020-02-27,1
2020-02-29,2
2020-03-02,1
2020-03-04,8
2020-03-06,15
2020-03-07,1
2020-03-10,10
2020-03-11,6
2020-03-12,2
2020-03-13,5
2020-03-14,1
2020-03-19,1
2020-03-20,2
2020-03-21,9
2020-03-22,1
2020-03-23,1
2020-03-25,1
2020-03-27,2
2020-03-28,2
2020-03-30,10
2020-03-31,32
2020-04-01,8
2020-04-02,2
2020-04-03,2
2020-04-04,4
2020-04-08,2
2020-04-09,3
2020-04-10,1
2020-04-11,1
2020-04-13,15
2020-04-14,3
2020-04-15,2
2020-04-16,5
2020-04-17,18
2020-04-20,4
2020-04-21,2
2020-04-23,1
2020-04-24,2
2020-04-25,3
2020-04-26,4
2020-04-27,1
2020-04-28,3
2020-04-29,3
2020-04-30,15
2020-05-01,4
2020-05-03,1
2020-05-05,3
2020-05-06,5
2020-05-07,1
2020-05-08,2
2020-05-09,9
2020-05-12,1
2020-05-13,20
2020-05-14,2
2020-05-15,1
2020-05-16,1
2020-05-18,1
2020-05-20,2
2020-05-21,2
2020-05-22,7
2020-05-23,3
2020-05-25,31
2020-05-26,32
2020-05-27,9
2020-05-28,8
2020-05-29,2
2020-06-01,7
